,band_name,fans,formed,origin,split,style
1349,"Tyranny",36,2001,"Finland",2001,"Funeral doom"
1350,"Vehemence",36,1997,"USA",-,"Technical death"
1351,"Aesma Daeva",35,1998,"USA",1998,"Symphonic"
1352,"Altaria",35,1999,"Finland",2016,"Power"
1353,"Chevelle",35,1995,"USA",1995,"Alternative,Hard rock"
1354,"Dirge",35,1994,"France",-,"Sludge,Industrial,Atmospheric sludge,Doom"
1355,"Estradasphere",35,1998,"USA",1998,"Avantgarde,Fusion"
1356,"Evereve",35,1993,"Germany",-,"Atmospheric gothic"
1357,"Fferyllt",35,2003,"Russia",2003,"Folk"
1358,"Inferi",35,2006,"USA",-,"Melodic death,Technical death"
1359,"Kahtmayan",35,1998,"Iran",1998,"Progressive,Thrash,Instrumental"
1360,"Kimaera",35,2000,"Lebanon",-,"Death doom"
1361,"Korzus",35,1983,"Brazil",1983,"Thrash"
1362,"Minsk",35,2002,"USA",-,"Post-metal"
1363,"Noekk",35,2004,"Germany",2004,"Progressive doom"
1364,"Nyktalgia",35,2001,"Germany",2008,"Depressive black"
1365,"Odious Mortem",35,1998,"USA",1998,"Technical death"
1366,"Orchid",35,2007,"USA",-,"Doom"
1367,"Pan.thy.monium",35,1990,"Sweden",1990,"Avantgarde,Progressive death"
1368,"Pro-Pain",35,1992,"USA",-,"Crossover thrash,Hardcore"
1369,"Spectral Lore",35,2005,"Greece",2005,"Atmospheric black,Dark ambient"
1370,"Steelwing",35,2009,"Sweden",-,"Heavy"
1371,"Subsignal",35,2007,"Germany",2007,"Progressive"
1372,"Subterranean Masquerade",35,1997,"nan",-,"Progressive,Psychedelic rock"
1373,"Walls Of Jericho",35,1998,"USA",1998,"Metalcore"
1374,"Abnormality",34,2005,"USA",-,"Brutal death,Technical death"
1375,"Ambeon",34,2001,"The Netherlands",2001,"Progressive,Ambient"
1376,"Arafel",34,1997,"Israel",-,"Melodic black"
1377,"Ashes Of Ares",34,2012,"USA",2012,"Heavy"
1378,"Ashes You Leave",34,1995,"Croatia",-,"Doom,Gothic doom"
1379,"Atrophy",34,1986,"USA",1986,"Thrash"
1380,"Dawn Of Demise",34,2003,"Denmark",-,"Death"
1381,"Emptiness",34,1998,"Belgium",1998,"Blackened death"
1382,"Ghost Bath",34,2012,"USA",-,"Depressive black,Post-metal"
1383,"Menace Ruine",34,2006,"Canada",2006,"Atmospheric black,Drone doom,Neofolk,Noise"
1384,"Prostitute Disfigurement",34,2000,"The Netherlands",-,"Brutal death"
1385,"Pythia",34,2007,"United Kingdom",2007,"Symphonic power"
1386,"Sadist",34,1991,"Italy",-,"Progressive death"
1387,"Shaolin Death Squad",34,2001,"USA",2001,"Progressive,Avantgarde"
1388,"Storm",34,1993,"Norway",1995,"Blackened folk"
1389,"Tad Morose",34,1991,"Sweden",1991,"Progressive power"
1390,"Torture Squad",34,1990,"Brazil",-,"Death,Thrash"
1391,"Tygers Of Pan Tang",34,1978,"United Kingdom",1978,"New wave of british heavy,Heavy"
1392,"White Skull",34,1988,"Italy",-,"Power"
1393,"Acid King",33,1993,"USA",1993,"Stoner"
1394,"Age Of Silence",33,2004,"Norway",-,"Avantgarde"
1395,"Antaeus",33,1994,"France",1994,"Black"
1396,"Aosoth",33,2002,"France",-,"Black"
1397,"Artrosis",33,1995,"Poland",1995,"Gothic"
1398,"Beyond The Black",33,2014,"Germany",-,"Symphonic"
1399,"Butterfly Temple",33,1995,"Russia",1995,"Pagan folk"
1400,"Callisto",33,2001,"Finland",-,"Post-metal"
1401,"Eye Of Solitude",33,2010,"United Kingdom",2010,"Death doom"
1402,"Falchion",33,2002,"Finland",2009,"Melodic death,Folk"
1403,"Fjoergyn",33,2003,"Germany",2003,"Folk,Symphonic"
1404,"Funeralium",33,2003,"France",-,"Funeral doom"
1405,"InnerWish",33,1995,"Greece",1995,"Power"
1406,"Kalevala",33,2007,"Russia",-,"Folk"
1407,"Life Of Agony",33,1989,"USA",1989,"Hardcore,Alternative,Grunge"
1408,"Loits",33,1996,"Estonia",-,"Black"
1409,"Manes",33,1993,"Norway",1993,"Black,Electro avantgarde"
1410,"Misþyrming",33,2013,"Iceland",-,"Black"
1411,"Morgion",33,1990,"USA",1990,"Death,Doom"
1412,"Obsidian Kingdom",33,2005,"Spain",-,"Extreme progressive"
1413,"Olympos Mons",33,2002,"Finland",2002,"Power"
1414,"Slaughter",33,1984,"Canada",1990,"Death,Thrash"
1415,"Spineshank",33,1996,"USA",1996,"Industrial,Nu"
1416,"Sunburst",33,2010,"Greece",-,"Progressive,Power"
1417,"The 11th Hour",33,2008,"The Netherlands",2008,"Doom"
1418,"The Exploited",33,1979,"United Kingdom",-,"Hardcore,Crossover thrash,Punk"
1419,"Thergothon",33,1990,"Finland",1990,"Funeral doom"
1420,"Torche",33,2004,"USA",-,"Stoner,Sludge"
1421,"Viathyn",33,2006,"Canada",2006,"Progressive power"
1422,"Weeping Silence",33,1998,"Malta",-,"Gothic,Doom"
1423,"Whyzdom",33,2007,"France",2007,"Symphonic"
1424,"Ásmegin",32,1998,"Norway",-,"Viking folk"
1425,"Arthemesia",32,1994,"Finland",1994,"Melodic black"
1426,"Botanist",32,2009,"USA",-,"Experimental black"
1427,"Coffins",32,1996,"Japan",1996,"Death"
1428,"Crashdïet",32,2000,"Sweden",-,"Glam"
1429,"Cryptic Wintermoon",32,1993,"Germany",1993,"Symphonic black,Thrash"
1430,"Dawn Of Destiny",32,2005,"Germany",-,"Power"
1431,"Deals Death",32,2008,"Sweden",2008,"Gothenburg"
1432,"Elder",32,2006,"USA",-,"Psychedelic rock,Stoner"
1433,"Enslavement Of Beauty",32,1995,"Norway",1995,"Melodic black,Gothic"
1434,"Ghoul",32,2001,"USA",-,"Death,Thrash"
1435,"Hamferð",32,2008,"Faroe Islands",2008,"Doom"
1436,"Heavens Gate",32,1987,"Germany",1999,"Heavy"
1437,"Megaherz",32,1993,"Germany",1993,"Industrial,Alternative"
1438,"Michael Angelo Batio",32,1993,"USA",-,"Neoclassical heavy,Instrumental hard rock"
1439,"Nanowar Of Steel",32,2003,"Italy",2003,"Heavy,Power"
1440,"Narnia",32,1996,"Sweden",-,"Power"
1441,"Native Construct",32,2011,"USA",2011,"Progressive"
1442,"Nox Aurea",32,2005,"Sweden",-,"Melodic death,Doom"
1443,"Raventale",32,2005,"Ukraine",2005,"Atmospheric black,Doom"
1444,"Sinner",32,1980,"Germany",-,"Heavy"
1445,"SpellBlast",32,1999,"Italy",1999,"Folk,Power"
1446,"Spiral Architect",32,1993,"Norway",-,"Technical progressive"
1447,"Three",32,1994,"USA",1994,"Progressive rock"
1448,"Windhand",32,2008,"USA",-,"Doom,Stoner"
1449,"Amoral",31,1997,"Finland",1997,"Technical death,Power,Death,Thrash"
1450,"Blind Stare",31,1999,"Finland",-,"Melodic death,Extreme power"
1451,"Coffinworm",31,2007,"USA",2007,"Blackened sludge,Doom"
1452,"Crucified Barbara",31,1998,"Sweden",2016,"Hard rock,Heavy"
1453,"Desultory",31,1989,"Sweden",1989,"Death"
1454,"Devian",31,2006,"Sweden",2011,"Black,Death"
1455,"Dreadnought",31,2012,"USA",2012,"Black,Folk,Progressive"
1456,"Endstille",31,2000,"Germany",-,"Black"
1457,"Faithful Darkness",31,2004,"Sweden",2004,"Gothenburg"
1458,"Forest Silence",31,1997,"Hungary",-,"Dark,Ambient,Atmospheric black"
1459,"Helheim",31,1992,"Norway",1992,"Viking black"
1460,"Human Fortress",31,1997,"Germany",-,"Hard rock,Power"
1461,"Lascaille's Shroud",31,2008,"USA",2008,"Progressive death"
1462,"Le Grand Guignol",31,1996,"Luxembourg",-,"Symphonic black,Avantgarde black"
1463,"Lingua Mortis Orchestra",31,2013,"Germany",2013,"Symphonic"
1464,"Longing For Dawn",31,2002,"Canada",-,"Death doom,Funeral doom"
1465,"Murmuüre",31,2006,"France",2006,"Ambient black"
1466,"Nailbomb",31,1994,"Brazil",1995,"Industrial thrash"
1467,"Negative",31,1997,"Finland",1997,"Suomi,Glam"
1468,"Panzerchrist",31,1994,"Denmark",-,"Death,Blackened death"
1469,"Rivers Of Nihil",31,2009,"USA",2009,"Technical death"
1470,"Root",31,1987,"Czech Republic",-,"Black"
1471,"Skuggsjá",31,2014,"Norway",2014,"Pagan folk"
1472,"System Divide",31,2008,"USA",2014,"Melodic death"
1473,"Teitanblood",31,2003,"Spain",2003,"Black,Death"
1474,"The Chasm",31,1993,"Mexico",-,"Death"
1475,"The Red Chord",31,1999,"USA",1999,"Deathcore,Grindcore,Technical deathcore"
1476,"Verdunkeln",31,1998,"Germany",-,"Psychedelic black"
1477,"Abruptum",30,1990,"Sweden",1990,"Black,Ambient,Noise"
1478,"Cadacross",30,1997,"Finland",2005,"Death,Melodic death,Folk,Power"
1479,"Carpe Noctem",30,2005,"Iceland",2005,"Black"
1480,"Cloak Of Altering",30,2011,"The Netherlands",-,"Avantgarde black"
1481,"Code",30,1998,"United Kingdom",1998,"Black,Doom,Post-rock,Progressive rock"
1482,"Criminal",30,1991,"Chile",-,"Death,Thrash"
1483,"Cryonic Temple",30,1996,"Sweden",1996,"Power"
1484,"Extreme Noise Terror",30,1985,"United Kingdom",-,"Crust,Punk ,Death,Grindcore"
1485,"Faal",30,2005,"The Netherlands",2005,"Black,Doom"
1486,"Gormathon",30,2009,"Sweden",-,"Melodic death"
1487,"Heretoir",30,2006,"Germany",2006,"Depressive black"
1488,"Hermética",30,1987,"Argentina",1994,"Thrash"
1489,"Highland Glory",30,2001,"Norway",2001,"Power"
1490,"Iskald",30,2005,"Norway",-,"Melodic black"
1491,"Katharsis",30,1994,"Germany",1994,"Black"
1492,"Kawir",30,1993,"Greece",-,"Pagan black"
1493,"Kuolemanlaakso",30,2010,"Finland",2010,"Death doom"
1494,"Light This City",30,2002,"USA",2008,"Melodic death,Metalcore"
1495,"Lizzy Borden",30,1983,"USA",1983,"Heavy"
1496,"Lullacry",30,1999,"Finland",2014,"Suomi"
1497,"Merciless",30,1986,"Sweden",1986,"Thrash"
1498,"Mourning Lenore",30,2008,"Portugal",2012,"Death doom"
1499,"Netherion",30,2010,"Syria",2010,"Death"
1500,"Phideaux",30,1996,"USA",-,"Progressive rock"
1501,"Runic",30,2001,"Spain",2001,"Viking folk,Extreme power"
1502,"Saurom",30,1996,"Spain",-,"Folk,Power"
1503,"ScoX",30,2010,"Iran",2010,"Brutal death"
1504,"Solstice",30,1990,"United Kingdom",-,"Epic doom"
1505,"Todesbonden",30,2003,"USA",2003,"Atmospheric doom,Atmospheric gothic"
1506,"Troll",30,1992,"Norway",-,"Industrial black"
1507,"Valkyrja",30,2004,"Sweden",2004,"Black"
1508,"Wulfgar",30,2005,"Sweden",-,"Melodic death"
1509,"Ævangelist",29,2010,"USA",2010,"Blackened death"
1510,"Almafuerte",29,1995,"Argentina",-,"Heavy,Thrash,Folk"
1511,"American Head Charge",29,1996,"USA",1996,"Industrial,Nu"
1512,"Autumnblaze",29,1996,"Germany",-,"Black,Gothic rock,Doom,Gothic"
1513,"Beheaded",29,1991,"Malta",1991,"Brutal death,Technical death"
1514,"Christian Mistress",29,2008,"USA",-,"Heavy"
1515,"Daemonarch",29,1998,"Portugal",1998,"Melodic black"
1516,"Destrage",29,2005,"Italy",-,"Melodic death,Metalcore"
1517,"Hammerforce",29,2006,"Russia",2006,"Symphonic,Power,Progressive"
1518,"King's X",29,1980,"USA",-,"Progressive rock,Progressive"
1519,"Mare Cognitum",29,2011,"USA",2011,"Atmospheric black"
1520,"Nahemah",29,1997,"Spain",2012,"Symphonic black,Progressive death,Post-metal"
1521,"Necrodeath",29,1984,"Italy",1984,"Blackened thrash"
1522,"Nothgard",29,2008,"Germany",-,"Pagan black"
1523,"Onmyo-Za",29,1999,"Japan",1999,"Heavy,Folk"
1524,"Pharaoh",29,1997,"USA",-,"Heavy,Us power"
1525,"Procession",29,2006,"Chile",2006,"Doom"
1526,"Scar The Martyr",29,2013,"USA",-,"Alternative,Industrial"
1527,"Stravaganzza",29,2003,"Spain",2003,"Symphonic"
1528,"Sunless Rise",29,2006,"Russia",-,"Melodic death,Extreme power"
1529,"Theory In Practice",29,1995,"Sweden",1995,"Melodic death,Technical death"
1530,"Thrudvangar",29,1998,"Germany",-,"Viking black"
1531,"Trauma",29,1988,"Poland",1988,"Death"
1532,"Vale Of Pnath",29,2006,"USA",-,"Technical death"
1533,"Zimmers Hole",29,1991,"Canada",1991,"Speed,Thrash"
1534,"Acheron",28,1988,"USA",-,"Blackened death"
1535,"Barathrum",28,1990,"Finland",1990,"Black"
1536,"Bell Witch",28,2010,"USA",-,"Funeral doom"
1537,"Bifröst",28,2005,"Austria",2005,"Pagan black,Folk"
1538,"Biomechanical",28,2001,"United Kingdom",-,"Progressive,Thrash"
1539,"Black Flag",28,1976,"USA",1976,"Sludge,Hardcore,Punk"
1540,"Dies Irae",28,1992,"Poland",2005,"Death"
1541,"Dreams Of Sanity",28,1991,"Austria",1991,"Symphonic"
1542,"Ekove Efrits",28,2001,"Iran",-,"Black"
1543,"Folkstone",28,2004,"Italy",2004,"Folk"
1544,"Gloria Morti",28,1999,"Finland",-,"Thrash,Melodic black,Melodic death"
1545,"Kälter",28,2006,"Canada",2006,"Melodic death,Progressive"
1546,"Kobra And The Lotus",28,2008,"Canada",-,"Heavy"
1547,"Kongh",28,2004,"Sweden",2004,"Sludge,Doom"
1548,"Negator",28,2003,"Germany",-,"Black"
1549,"Nervosa",28,2010,"Brazil",2010,"Thrash"
1550,"Nightbringer",28,1999,"USA",-,"Black"
1551,"Obliteration",28,2001,"Norway",2001,"Death"
1552,"Odious",28,1998,"Egypt",-,"Black,Oriental folk"
1553,"Omega Lithium",28,2007,"Croatia",2007,"Gothic industrial"
1554,"Poema Arcanus",28,1992,"Chile",-,"Progressive doom"
1555,"Scarve",28,1994,"France",1994,"Technical death"
1556,"Sceptic",28,1994,"Poland",-,"Technical death"
1557,"Schandmaul",28,1998,"Germany",1998,"Medieval folk,Medieval,Folk rock"
1558,"Skagos",28,2007,"Canada",-,"Atmospheric black"
1559,"SpiRitual",28,2005,"Germany",2005,"Gothic"
1560,"Svartby",28,2004,"Russia",-,"Folk"
1561,"The Amenta",28,2002,"Australia",2002,"Industrial death"
1562,"The Axis Of Perdition",28,2002,"United Kingdom",2013,"Industrial black,Dark,Ambient"
1563,"Weakling",28,1998,"USA",1998,"Black"
1564,"Welicoruss",28,2005,"Russia",-,"Symphonic black"
1565,"When Nothing Remains",28,2010,"Sweden",2010,"Funeral doom"
1566,"Winger",28,1987,"USA",-,"Glam,Hard rock"
1567,"Wretched",28,2005,"USA",2005,"Melodic deathcore,Technical death"
1568,"Zeal And Ardor",28,2014,"USA",-,"Avantgarde black"
1569,"Armageddon",27,1997,"Sweden",1997,"Melodic death,Heavy,Power"
1570,"Atlantean Kodex",27,2005,"Germany",-,"Heavy,Doom"
1571,"Beautiful Sin",27,2005,"Germany",2005,"Heavy"
1572,"Callenish Circle",27,1992,"The Netherlands",2007,"Gothenburg"
1573,"Chaos Divine",27,2005,"Australia",2005,"Melodic death,Progressive"
1574,"Crionics",27,1997,"Poland",2011,"Black,Death"
1575,"Crom",27,1997,"Germany",1997,"Viking folk,Power"
1576,"Decadence",27,2003,"Sweden",-,"Thrash,Melodic death"
1577,"Dekadent",27,2005,"Slovenia",2005,"Symphonic black"
1578,"Dråpsnatt",27,2005,"Sweden",-,"Atmospheric black,Pagan black"
1579,"Emigrate",27,2005,"Germany",2005,"Industrial"
1580,"Eucharist",27,1989,"Sweden",-,"Melodic death"
1581,"Frosttide",27,2009,"Finland",2009,"Extreme power"
1582,"Hammer Horde",27,2007,"USA",-,"Pagan black"
1583,"Immortal Souls",27,1991,"Finland",1991,"Melodic death,Heavy,Doom"
1584,"Ingested",27,2004,"United Kingdom",-,"Brutal death"
1585,"Insania",27,1992,"Sweden",1992,"Power"
1586,"Kekal",27,1995,"Indonesia",-,"Black,Avantgarde"
1587,"Khanate",27,2000,"USA",2000,"Extreme sludge,Doom"
1588,"Leah",27,2010,"Canada",-,"Symphonic"
1589,"Oceans Of Sadness",27,1995,"Belgium",1995,"Extreme avantgarde,Extreme progressive"
1590,"Paragon",27,1990,"Germany",-,"Power"
1591,"Parasite Inc.",27,2007,"Germany",2007,"Melodic death"
1592,"Planet Of Zeus",27,2000,"Greece",-,"Stoner"
1593,"Sister Sin",27,2002,"Sweden",2002,"Heavy"
1594,"Slechtvalk",27,1999,"The Netherlands",-,"Black"
1595,"Sons Of Seasons",27,2007,"Germany",2007,"Symphonic progressive"
1596,"Sun Of The Blind",27,2006,"Switzerland",-,"Avantgarde black"
1597,"Svart Crown",27,2004,"France",2004,"Black,Death"
1598,"The Few Against Many",27,2008,"Sweden",-,"Melodic death,Symphonic"
1599,"The Haarp Machine",27,2007,"United Kingdom",2007,"Technical death,Progressive"
1600,"Therapy?",27,1989,"United Kingdom",-,"Alternative,Hard rock"
1601,"Thou",27,2005,"USA",2005,"Sludge,Doom"
1602,"Timo Tolkki",27,1994,"Finland",-,"Neoclassical power,Progressive"
1603,"Worship",27,1998,"Germany",1998,"Funeral doom"
1604,"Al-Namrood",26,2008,"Saudi Arabia",-,"Black"
1605,"An Abstract Illusion",26,2007,"Sweden",2007,"Melodic death,Progressive death"
1606,"Arakain",26,1982,"Czech Republic",-,"Thrash"
1607,"Arcana Coelestia",26,2005,"Italy",2005,"Funeral doom,Atmospheric black"
1608,"Bornholm",26,2000,"Hungary",-,"Pagan black"
1609,"Bulldozer",26,1980,"Italy",1980,"Thrash"
1610,"Cage",26,1992,"USA",-,"Heavy"
1611,"Cold Body Radiation",26,2009,"The Netherlands",2009,"Atmospheric black,Shoegaze,Post-rock"
1612,"Crystal Eyes",26,1992,"Sweden",-,"Power"
1613,"Deathchain",26,2001,"Finland",2001,"Thrash,Death"
1614,"Derek Sherinian",26,1996,"USA",-,"Progressive,Progressive rock"
1615,"Desolate Shrine",26,2010,"Finland",2010,"Death"
1616,"Destroy Destroy Destroy",26,2003,"USA",-,"Extreme power"
1617,"Drowning The Light",26,2003,"Australia",2003,"Black"
1618,"Elegy",26,1992,"The Netherlands",-,"Progressive power"
1619,"Elf",26,1967,"USA",1967,"Blues rock,Hard rock"
1620,"Fozzy",26,1999,"USA",-,"Heavy"
1621,"Gardenian",26,1996,"Sweden",1996,"Melodic death"
1622,"Hades Almighty",26,1998,"Norway",-,"Black"
1623,"Holy Terror",26,1985,"USA",1985,"Thrash"
1624,"HolyHell",26,2005,"USA",-,"Symphonic power"
1625,"Illidiance",26,2004,"Russia",2004,"Symphonic black,Industrial"
1626,"Lord",26,2003,"Australia",-,"Power,Heavy"
1627,"Manslaughter",26,2007,"Poland",2007,"Death,Black"
1628,"Obtest",26,1992,"Lithuania",-,"Brutal death,Pagan black,Pagan folk"
1629,"Oceans Of Slumber",26,2011,"USA",2011,"Extreme progressive"
1630,"Ram-Zet",26,1998,"Norway",-,"Extreme avantgarde"
1631,"Sacrifice",26,1983,"Canada",1983,"Thrash"
1632,"Salem",26,1985,"Israel",-,"Black,Doom,Death"
1633,"Satariel",26,1993,"Sweden",1993,"Black,Melodic death"
1634,"Shakra",26,1997,"Switzerland",-,"Hard rock,Heavy"
1635,"Tharaphita",26,1995,"Estonia",1995,"Pagan black"
1636,"The Black Mages",26,2003,"Japan",2010,"Progressive"
1637,"Thy Serpent",26,1992,"Finland",1992,"Melodic black"
1638,"To Cast A Shadow",26,2005,"Norway",-,"Doom,Gothic"
1639,"Yggdrasil",26,2001,"Sweden",2001,"Folk"
1640,"1000 Funerals",25,2005,"Iran",2011,"Funeral doom"
1641,"Aaskereia",25,1997,"Germany",1997,"Pagan black"
1642,"Amaran",25,2000,"Sweden",2005,"Gothenburg"
1643,"Angelcorpse",25,1995,"USA",1995,"Blackened death"
1644,"ASP",25,1999,"Germany",-,"Industrial gothic,Gothic rock"
1645,"Beyond Fear",25,2005,"USA",2005,"Heavy"
1646,"Blackthorn",25,2004,"Russia",-,"Symphonic gothic"
1647,"Blitzkrieg",25,1980,"United Kingdom",1980,"New wave of british heavy,Heavy"
1648,"Christian Muenzner",25,2011,"Germany",-,"Progressive,Instrumental"
1649,"Christopher Lee",25,2009,"United Kingdom",2009,"Heavy,Power"
1650,"Concerto Moon",25,1996,"Japan",-,"Power"
1651,"Coronatus",25,2002,"Germany",2002,"Gothic"
1652,"Death Breath",25,2005,"Sweden",-,"Death"
1653,"Depressed Mode",25,2005,"Finland",2005,"Funeral doom,Melodic death"
1654,"Fall Of The Leafe",25,1996,"Finland",2007,"Melodic death,Gothic,Heavy"
1655,"Forever Slave",25,2000,"Spain",2000,"Gothic"
1656,"Gallhammer",25,2003,"Japan",-,"Black,Crust,Punk"
1657,"Germ",25,2003,"Australia",2003,"Depressive black,Electronica,Shoegaze"
1658,"Glittertind",25,2001,"Norway",-,"Viking folk,Punk rock"
1659,"Irminsul",25,2005,"Sweden",2005,"Viking folk"
1660,"Izegrim",25,1996,"The Netherlands",-,"Death,Melodic death,Thrash"
1661,"Lääz Rockit",25,1982,"USA",1982,"Bay area thrash"
1662,"Make Them Suffer",25,2008,"Australia",-,"Symphonic deathcore"
1663,"Michael Schenker's Temple Of Rock",25,1979,"Germany",1979,"Hard rock"
1664,"Moi Dix Mois",25,2002,"Japan",-,"Symphonic gothic"
1665,"Mustasch",25,1998,"Sweden",1998,"Heavy"
1666,"Odroerir",25,1998,"Germany",-,"Pagan folk"
1667,"Pillorian",25,2016,"USA",2016,"Atmospheric black"
1668,"Sanctity",25,2000,"USA",2008,"Melodic thrash"
1669,"Saviour Machine",25,1989,"USA",1989,"Gothic"
1670,"Sinamore",25,1998,"Finland",-,"Gothic,Gothic rock"
1671,"Sons Of Aeon",25,2009,"Finland",2009,"Melodic death"
1672,"Steelheart",25,1990,"USA",-,"Glam,Gothic"
1673,"Stone",25,1985,"Finland",1985,"Speed,Thrash"
1674,"The Howling Void",25,2007,"USA",-,"Funeral doom,Symphonic doom"
1675,"The Prophecy",25,2001,"United Kingdom",2001,"Death doom"
1676,"Thronar",25,1998,"The Netherlands",2009,"Atmospheric black,Folk"
1677,"Toundra",25,2007,"Spain",2007,"Instrumental post-metal"
1678,"Tremonti",25,2011,"USA",-,"Heavy"
1679,"Visceral Bleeding",25,1999,"Sweden",1999,"Brutal death"
1680,"Winter",25,1988,"USA",-,"Death doom"
1681,"Alarum",24,1992,"Australia",1992,"Progressive,Fusion"
1682,"Barón Rojo",24,1980,"Spain",-,"Hard rock,Heavy"
1683,"Battle Of Mice",24,2005,"USA",2005,"Post-metal"
1684,"Benedictum",24,2005,"USA",-,"Heavy"
1685,"Bison B.C.",24,2006,"Canada",2006,"Sludge"
1686,"Black Country Communion",24,2009,"USA",2013,"Hard rock,Blues rock"
1687,"Carnal Forge",24,1997,"Sweden",1997,"Death,Thrash"
1688,"Cemetary",24,1989,"Sweden",2005,"Death,Gothic"
1689,"Demon",24,1979,"United Kingdom",1979,"New wave of british heavy,Hard rock,Heavy"
1690,"Diamond Plate",24,2004,"USA",-,"Thrash"
1691,"Disincarnate",24,1992,"USA",1992,"Death"
1692,"End Of You",24,2003,"Finland",-,"Suomi"
1693,"Eulen",24,2009,"Syria",2009,"Doom,Black"
1694,"Forsaken",24,1990,"Malta",-,"Doom,Heavy"
1695,"Galloglass",24,1999,"Germany",1999,"Power"
1696,"Grave Miasma",24,2006,"United Kingdom",-,"Death"
1697,"Harmony",24,2000,"Sweden",2000,"Progressive power"
1698,"Hatriot",24,2010,"USA",-,"Thrash"
1699,"Headspace",24,2006,"United Kingdom",2006,"Progressive,Progressive rock"
1700,"Horseback",24,2006,"USA",-,"Ambient,Drone,Post-,Rock"
1701,"Hoth",24,2011,"USA",2011,"Melodic black,Melodic death"
1702,"Hunter",24,1986,"Poland",-,"Thrash,Alternative"
1703,"Indian",24,2003,"USA",2003,"Blackened sludge,Doom"
1704,"Living Sacrifice",24,1989,"USA",-,"Death,Metalcore,Thrash"
1705,"Naildown",24,2003,"Finland",2003,"Melodic death"
1706,"One Man Army And The Undead Quartet",24,2004,"Sweden",2012,"Death,Thrash"
1707,"Prototype",24,1994,"USA",1994,"Progressive"
1708,"Regurgitate",24,1990,"Sweden",-,"Goregrind"
1709,"Sahg",24,2004,"Norway",2004,"Stoner"
1710,"Severed Savior",24,1999,"USA",-,"Brutal death,Technical death"
1711,"Spheric Universe Experience",24,1999,"France",1999,"Progressive"
1712,"Tokyo Blade",24,1982,"United Kingdom",-,"New wave of british heavy,Heavy"
1713,"Votum",24,2003,"Poland",2003,"Heavy,Progressive"
1714,"Ade",23,2007,"Italy",-,"Death"
1715,"Anti",23,2004,"Germany",2004,"Depressive black"
1716,"Arch/Matheos",23,2010,"USA",-,"Progressive"
1717,"Believer",23,1986,"USA",1986,"Technical thrash"
1718,"Blaze Of Perdition",23,2004,"Poland",-,"Black"
1719,"Byfrost",23,2007,"Norway",2007,"Black,Thrash"
1720,"Catacombs",23,2000,"USA",-,"Funeral doom"
1721,"Conan",23,2006,"United Kingdom",2006,"Doom,Stoner"
1722,"Count Raven",23,1989,"Sweden",-,"Doom"
1723,"Cripper",23,2005,"Germany",2005,"Thrash"
1724,"Darkest Era",23,2005,"United Kingdom",-,"Folk,Doom,Heavy"
1725,"Defiance",23,1985,"USA",1985,"Thrash"
1726,"Demonica",23,2008,"Denmark",-,"Thrash"
1727,"Downfall Of Gaia",23,2008,"Germany",2008,"Atmospheric sludge,Post-metal"
1728,"Fifth Angel",23,1983,"USA",-,"Us power"
1729,"Galar",23,2004,"Norway",2004,"Viking black,Folk,Neofolk"
1730,"Helltrain",23,2002,"Sweden",-,"Death ',N',Roll"
1731,"Hypomanie",23,2007,"The Netherlands",2007,"Shoegaze ,Black"
1732,"Inter Arma",23,2006,"USA",-,"Blackened sludge"
1733,"Iommi",23,2000,"United Kingdom",2000,"Heavy,Hard rock"
1734,"Kipelov",23,1997,"Russia",-,"Heavy"
1735,"Mantic Ritual",23,2005,"USA",2005,"Thrash"
1736,"Massacra",23,1986,"France",1997,"Death,Groove thrash,Heavy,Thrash"
1737,"Mechanical Poet",23,2002,"Russia",2002,"Symphonic progressive"
1738,"Mindplotter",23,2008,"Ukraine",-,"Math"
1739,"Misery Signals",23,2002,"USA",2002,"Metalcore"
1740,"Nasheim",23,2001,"Sweden",-,"Black"
1741,"Nazxul",23,1993,"Australia",1993,"Black"
1742,"Obscurity",23,1997,"Germany",-,"Pagan folk,Viking black"
1743,"Ramp",23,1989,"Portugal",1989,"Heavy,Industrial thrash,Thrash"
1744,"Regarde Les Hommes Tomber",23,2011,"France",-,"Black,Post-metal,Sludge"
1745,"Runemagick",23,1990,"Sweden",1990,"Death,Death doom"
1746,"Shrinebuilder",23,2008,"USA",-,"Doom,Sludge,Stoner"
1747,"Stormwitch",23,1979,"Germany",1979,"Heavy"
1748,"Thanatos",23,1984,"The Netherlands",-,"Death,Thrash"
1749,"The Hourglass",23,2002,"Syria",2002,"Heavy"
1750,"The Provenance",23,1995,"Sweden",2008,"Experimental gothic,Progressive death,Doom"
1751,"The Rotted",23,1997,"United Kingdom",1997,"Grindcore,Brutal death,Death,Punk"
1752,"Today Is The Day",23,1992,"USA",-,"Hardcore,Noise rock"
1753,"Vampiria",23,1997,"Argentina",1997,"Blackened gothic"
1754,"Wormlust",23,2003,"Iceland",-,"Black"
1755,"Yyrkoon",23,1995,"France",1995,"Death"
1756,"Zonata",23,1998,"Sweden",2003,"Power"
1757,"Ørkenkjøtt",22,2005,"Norway",2005,"Extreme progressive"
1758,"Acherontas",22,2007,"Greece",-,"Black"
1759,"Alabama Thunderpussy",22,1996,"USA",1996,"Stoner,Heavy"
1760,"Antediluvian",22,2006,"Canada",-,"Blackened death"
